job_id,job_title_english,company,url,translated_description_english,languages_required_english,badge,date_translated
1,Market Manager,騰訊,https://careers.tencent.com/job/1001,"Job Description: Responsible for marketing strategies and brand promotion, fluent in Cantonese and proficient in English required.","Cantonese, English",0,2026-04-19
2,Data Analyst,阿里巴巴,https://careers.alibaba.com/job/1002,"Job Description: Responsible for analyzing business data and preparing reports, requires proficiency in Mandarin and good English skills.","Mandarin, English",1,2026-04-19
3,Software Engineer,字節跳動,https://jobs.bytedance.com/job/1003,"Job Description: Participate in backend system development and maintenance, requires good English proficiency and fluent Mandarin.","English, Mandarin",1,2026-04-19
4,Product Manager,美團,https://zhaopin.meituan.com/job/1004,"Job Description: Responsible for product planning and requirements analysis, proficiency in Cantonese and English is required.","Cantonese, English",0,2026-04-19
5,Operations Specialist,京東,https://careers.jd.com/job/1005,"Job Description: Responsible for the daily operations and event execution of the platform, requiring fluent Cantonese and basic English proficiency.","Cantonese, English",0,2026-04-19
6,Customer Service Officer,匯豐銀行,https://www.hsbc.com/careers/job/1006,"Job Description: Handle customer inquiries and account services, requiring fluency in Cantonese and English; proficiency in Mandarin is a plus.","Cantonese, English, Mandarin",0,2026-04-19
7,Financial analyst,渣打銀行,https://www.sc.com/careers/job/1007,"Job Description: Responsible for financial reporting and budget analysis, requires fluent English and proficiency in Mandarin.","English, Mandarin",1,2026-04-19
8,Human Resources Assistant,恒生銀行,https://careers.hangseng.com/job/1008,"Job Description: Assist with recruitment, training, and employee data management. Requires proficiency in Cantonese and English.","Cantonese, English",0,2026-04-19
9,Marketing Specialist,小米,https://hr.xiaomi.com/job/1009,"Job Description: Responsible for online and offline promotional activities, requiring fluent Mandarin and basic English proficiency.","Mandarin, English",1,2026-04-19
10,Administrative Assistant,華為,https://career.huawei.com/job/1010,"Job Description: Responsible for office administrative support and document organization, requiring fluent Cantonese and good English.","Cantonese, English",0,2026-04-19
11,Front-end engineer,商湯科技,https://www.sensetime.com/careers/job/1011,"Job Description: Responsible for website interface development and optimization, follow up on user experience, good English proficiency required.","English, Mandarin",1,2026-04-19
12,UI Designer,快手,https://career.kuaishou.com/job/1012,"Job Description: Responsible for product interface design and visual material production, proficiency in Cantonese required, basic English skills necessary.","Cantonese, English",0,2026-04-19
13,UX Researcher,百度,https://talent.baidu.com/job/1013,"Job Description: Conduct user interviews and research analysis, compile improvement suggestions, fluent Mandarin required.","Mandarin, English",1,2026-04-19
14,Digital Marketing Executive,攜程,https://careers.trip.com/job/1014,"Job Description: Responsible for social media advertising and ad performance analysis, requires proficiency in Cantonese and English.","Cantonese, English",0,2026-04-19
15,Content editing,南華早報,https://careers.scmp.com/job/1015,"Job Description: Responsible for editing and proofreading news content, requiring strong Chinese and English writing skills.","Cantonese, English",1,2026-04-19
16,Procurement Assistant,利豐,https://careers.lifung.com/job/1016,"Job Description: Assist suppliers with follow-up and procurement document processing, requiring fluent Cantonese and good Mandarin.","Cantonese, Mandarin",0,2026-04-19
17,Logistics Coordinator,順豐,香港,https://hr.sf-express.com/job/1017,"Job Description: Responsible for logistics arrangements, order follow-up, and cross-departmental coordination. Must be fluent in Cantonese and proficient in Mandarin.",-1,2026-04-19
18,Accounting Clerk,德勤,https://careers.deloitte.com/job/1018,"Job Description: Assist in handling accounting entries, reimbursements, and month-end closing tasks, with a requirement for good English proficiency.","English, Cantonese",1,2026-04-19
19,Business Development Officer,安永,https://careers.ey.com/job/1019,"Job Description: Responsible for developing clients and following up on collaboration opportunities, requiring fluency in Cantonese and English.","Cantonese, English",0,2026-04-19
20,Project Coordinator,普華永道,https://www.pwc.com/careers/job/1020,"Job Description: Assist in project schedule management, meeting arrangements, and document follow-up, requiring proficiency in both Chinese and English.","Cantonese, English",1,2026-04-19
21,Information Technology Support Officer,國泰航空,https://careers.cathaypacific.com/job/1021,"Job Description: Responsible for internal computer equipment support and system troubleshooting, fluent in Cantonese and proficient in English required.","Cantonese, English",0,2026-04-19
22,Airport Ground Service Supervisor,香港機場管理局,https://careers.hkairport.com/job/1022,"Job Description: Responsible for passenger services and ground operations support, proficiency in Cantonese, English, and Mandarin is required.","Cantonese, English, Mandarin",0,2026-04-19
23,Ticketing Manager,香港快運,https://careers.hkexpress.com/job/1023,"Job Description: Handle ticket inquiries, ticket changes, and passenger arrangements. Must be fluent in Cantonese and proficient in English.","Cantonese, English",0,2026-04-19
24,Supply Chain Analyst,嘉里物流,https://careers.kerrylogistics.com/job/1024,"Job Description: Analyze supply chain processes and cost performance, propose improvement suggestions, requires good English proficiency.","English, Mandarin",1,2026-04-19
25,Store Supervisor,周大福,https://careers.ctfjewellery.com/job/1025,"Job Description: Responsible for store operations, staff scheduling, and sales target follow-up, fluent Cantonese required.","Cantonese, Mandarin",0,2026-04-19
26,E-commerce Specialist,HKTVmall,https://careers.hktvmall.com/job/1026,"Job Description: Responsible for product listing on the online store, activity setup, and sales data analysis. Proficiency in Cantonese is required.","Cantonese, English",0,2026-04-19
27,Warehouse Assistant,屈臣氏,https://careers.aswatson.com/job/1027,"Job Description: Responsible for receiving and dispatching goods, inventory counting, and warehouse organization, fluent Cantonese required.",Cantonese,0,2026-04-19
28,Brand Assistant,莎莎,https://careers.sasa.com/job/1028,"Job Description: Assist with brand promotion, event execution, and market data organization. Requires proficiency in Cantonese and English.","Cantonese, English",0,2026-04-19
29,Retail Training Officer,優品360,https://careers.bestmart360.com/job/1029,"Job Description: Responsible for the training arrangements and teaching material organization for frontline staff, fluent Cantonese required.","Cantonese, Mandarin",0,2026-04-19
30,Graphic designer,牛奶公司,https://careers.dfiretailgroup.com/job/1030,"Job Description: Responsible for promotional material design, layout, and brand visual support. Proficiency in Cantonese is required, with basic English skills.","Cantonese, English",0,2026-04-19
31,Social Media Manager,Viu,https://careers.viu.com/job/1031,"Job Description: Manage social media content publishing and interaction, requiring familiarity with Cantonese internet slang.","Cantonese, English",0,2026-04-19
32,Video editor,電視廣播有限公司,https://careers.tvb.com/job/1032,"Job Description: Responsible for short video editing, subtitle processing, and post-production, with a requirement for fluent Cantonese.","Cantonese, English",0,2026-04-19
33,Reporter,香港經濟日報,https://careers.hket.com/job/1033,"Job Description: Reporting news, writing articles, and updating content in real-time, requiring proficiency in both Chinese and English.","Cantonese, English",1,2026-04-19
34,Research Assistant,香港大學,https://careers.hku.hk/job/1034,"Job Description: Assist with data collection, literature review, and research report writing; requires strong English writing skills.","English, Cantonese",1,2026-04-19
35,Laboratory technician,香港中文大學,https://career.cuhk.edu.hk/job/1035,"Job Description: Responsible for laboratory equipment management, sample processing, and record updates, with a requirement for good English proficiency.","English, Cantonese",1,2026-04-19
36,Student Affairs Assistant,香港科技大學,https://careers.ust.hk/job/1036,"Job Description: Support student service counters, event arrangements, and data entry. Must be fluent in Cantonese and proficient in English.","Cantonese, English",0,2026-04-19
37,Teaching Assistant,香港理工大學,https://jobs.polyu.edu.hk/job/1037,"Job Description: Assist with classroom administration, organize teaching materials, and liaise with students. Proficiency in both Chinese and English is required.","Cantonese, English",1,2026-04-19
38,Library Assistant,香港城市大學,https://careers.cityu.edu.hk/job/1038,"Job Description: Responsible for shelving books, handling borrowing and returns, and addressing reader inquiries. Fluency in Cantonese is required.","Cantonese, English",0,2026-04-19
39,Admissions Director,香港浸會大學,https://careers.hkbu.edu.hk/job/1039,"Job Description: Handle course inquiries, admissions materials, and promotional activities. Proficiency in Cantonese, English, and Mandarin is required.","Cantonese, English, Mandarin",0,2026-04-19
40,School Clerk,香港教育大學,https://careers.eduhk.hk/job/1040,"Job Description: Responsible for school affairs documents, meeting arrangements, and daily administrative support. Proficiency in Cantonese is required.","Cantonese, English",0,2026-04-19
41,Customer Service Chat Specialist,foodpanda,https://careers.foodpanda.com/job/1041,"Job Description: Handle customer inquiries and complaints through online chat, requiring fast typing skills and fluency in Cantonese.","Cantonese, English",0,2026-04-19
